row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-0.8906758428;-1.036944866;-1.26979363;0.8958875537,,,,,
POINT,1,,-1.032946587;1.784289837;-2.377313375;-0.6098119617,,,,,
POINT,2,,0.02807247639;0.9414635301;1.137222648;-1.253957987,,,,,
POINT,3,,0.1342325956;-0.3631595373;0.7986518145;-1.542287111,,,,,
POINT,4,,0.7573076487;-1.233950615;0.1226354763;-0.9044895768,,,,,
POINT,5,,-0.411331147;-1.058277726;1.418489337;1.314140677,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,1.798099995;-1.056956768;-1.16063416;-3.350124359,-0.03702869266,,,1
SUBSET_WITNESS,,{0},,-1.163241506;-1.229932547;-1.478446245;0.155072093,0.5025951862,0.6841752648,3.711039141,1
SUBSET_WITNESS,,{1},,-1.032946587;1.784289837;-2.377313375;-0.6098119617,1,0,3.931665123,1
SUBSET_WITNESS,,{2},,0.2683520615;1.376477003;1.425175428;-0.9737817049,0.4982629716,0.4083865508,1.466407096,1
SUBSET_WITNESS,,{3},,0.2420863956;-0.8707641959;0.5311863422;-1.964687467,0.4595939219,0.519254759,1.688290492,1
SUBSET_WITNESS,,{4},,1.357857585;-1.83450079;-0.4779150784;-0.3039390445,0.3994495273,1.442642629,3.832200773,1
SUBSET_WITNESS,,{5},,0.1387714893;-0.8284059167;1.779366851;1.610515952,0.5059306026,0.5735248737,2.589302801,1
SUBSET_WITNESS,,"{0,1}",,-1.637434602;0.5971578956;-1.719671607;0.2027278543,2.758301735,3.910801351,5.522952795,1
SUBSET_WITNESS,,"{0,2}",,-1.123530507;0.610268414;0.8625813127;-0.210152477,1.61685133,2.600837335,3.692082398,1
SUBSET_WITNESS,,"{0,3}",,-0.9634763598;-0.4655424953;0.1617600173;-0.3718894124,0.9526225924,2.990909267,3.564334691,1
SUBSET_WITNESS,,"{0,4}",,-0.06668409705;-1.135447741;-0.573579073;-0.004301011562,1,1.983719453,3.69120723,1
SUBSET_WITNESS,,"{0,5}",,-0.65100348;-1.047611237;0.07434785366;1.105014086,1,1.482398,6.058498858,1
SUBSET_WITNESS,,"{1,2}",,-1.055846214;1.152691126;-1.478871465;-0.7410179973,2.10771203,1.533429532,2.667500068,1
SUBSET_WITNESS,,"{1,3}",,-0.296112448;1.609867215;-2.601069927;-2.052231073,2.425773144,2.703987431,3.227202788,1
SUBSET_WITNESS,,"{1,4}",,-0.2582681179;2.282098293;-0.6708176732;0.1446483433,3.989023447,4.774674337,5.128239281,1
SUBSET_WITNESS,,"{1,5}",,-0.1995572746;1.192054272;-1.965216279;1.069314003,4.203722477,4.034568891,5.959771505,1
SUBSET_WITNESS,,"{2,3}",,0.08115253597;0.2891519964;0.9679372311;-1.398122549,1,0.4777688419,3.1726184,1
SUBSET_WITNESS,,"{2,4}",,1.280009866;0.3239027858;0.9662703872;-0.2641860545,1.170628428,2.664351325,3.44649845,1
SUBSET_WITNESS,,"{2,5}",,-0.08204387128;0.4621092379;1.350162387;0.3113688827,0.9052919745,2.98297447,3.712662339,1
SUBSET_WITNESS,,"{3,4}",,0.4086548388;-0.9675656557;0.03830690682;-1.373399734,0.8340730667,1.047261678,2.725774664,1
SUBSET_WITNESS,,"{3,5}",,0.3518956602;-0.9980535507;2.061324596;-0.3189238608,2.88922143,3.666278997,4.140138343,1
SUBSET_WITNESS,,"{4,5}",,0.5470072031;-0.8560201526;0.8383024931;0.2259567529,1.511100054,2.480081495,2.722998256,1
SUBSET_WITNESS,,"{0,1,2}",,-1.527373433;0.4356231987;-1.256297112;-0.2170214206,3.67731452,4.242771017,5.368897781,1
SUBSET_WITNESS,,"{0,1,3}",,-1.198267698;0.05434000492;-2.30445838;-0.574744761,3.449758053,4.518805891,5.028414786,1
SUBSET_WITNESS,,"{0,1,4}",,-0.2633109987;0.5641260147;-2.218495131;0.405513227,3.372315407,4.097516149,4.171255602,1
SUBSET_WITNESS,,"{0,1,5}",,-0.7960853577;0.5589525104;-1.509508729;0.7829817533,3.957854509,4.250513684,5.374376528,1
SUBSET_WITNESS,,"{0,2,3}",,-1.009476781;0.5252760053;0.9429609776;-0.4505726993,1.986575961,3.013196992,4.213009555,1
SUBSET_WITNESS,,"{0,2,4}",,-0.7289128304;0.9905518889;-0.6009364724;0.3149247766,2.802943945,4.187907681,4.49158217,1
SUBSET_WITNESS,,"{0,2,5}",,-0.7014020085;0.1847323924;1.190135956;0.2960002422,1.657357454,3.023683619,4.531030908,1
SUBSET_WITNESS,,"{0,3,4}",,-0.3602350056;-0.7730272412;-0.4140466154;-0.311765939,1.882530928,3.162289277,5.545890719,1
SUBSET_WITNESS,,"{0,3,5}",,-1.265973568;-0.4046590626;0.0705460906;0.1145659313,2.73547411,5.237599546,5.413918925,1
SUBSET_WITNESS,,"{0,4,5}",,-0.09037061036;-0.6842905283;-0.6690603495;0.6809192896,2.177232504,4.160988361,5.027330168,1
SUBSET_WITNESS,,"{1,2,3}",,-0.4443157613;1.573432565;-2.223930836;-1.008758664,2.466139793,1.813784637,4.380944288,1
SUBSET_WITNESS,,"{1,2,4}",,-0.009607401676;1.534443259;-1.472089648;0.02694851905,2.452061892,2.334540181,3.154506363,1
SUBSET_WITNESS,,"{1,2,5}",,-1.065554619;-0.07435059547;3.353345394;-0.4693561494,7.544836998,8.320649743,8.91746579,1
SUBSET_WITNESS,,"{1,3,4}",,-0.1574219912;-0.04139053077;-3.177609205;-0.430670917,4.548266411,5.783109888,6.767774925,1
SUBSET_WITNESS,,"{1,3,5}",,-0.3464227617;-0.8712850213;2.888206005;-0.6716753244,5.446899891,6.142711684,6.831299782,1
SUBSET_WITNESS,,"{1,4,5}",,-0.1865788102;-2.530329704;2.136922359;-0.7209300399,6.179082394,6.875109125,6.962092519,1
SUBSET_WITNESS,,"{2,3,4}",,0.3065375686;-0.218548879;0.6861699224;-1.233578205,1,1.660104729,5.360543549,1
SUBSET_WITNESS,,"{2,3,5}",,-0.05444404855;-0.1245033965;1.474057674;0.1197963431,2.055318117,3.311250191,3.780120999,1
SUBSET_WITNESS,,"{2,4,5}",,0.8575044274;-0.4156262875;0.8945875764;0.3456617594,1.802694201,3.504678372,4.099429465,1
SUBSET_WITNESS,,"{3,4,5}",,0.3963020444;-1.329313636;1.639015913;-0.3253691494,2.593575716,3.462356102,3.578743204,1
SUBSET_WITNESS,,"{0,1,2,3}",,-1.259937882;0.1509222388;-1.99001646;-0.7051126361,3.570908546,4.629305437,5.288875002,1
SUBSET_WITNESS,,"{0,1,2,4}",,-0.6599920988;0.9579673409;-1.224023104;0.3128129542,2.991932154,3.847765812,4.189459747,1
SUBSET_WITNESS,,"{0,1,2,5}",,-0.9183095098;0.9965748787;-1.656346202;0.4485170543,4.036797047,4.295700008,4.980185479,1
SUBSET_WITNESS,,"{0,1,3,4}",,-0.829863131;-0.09041591734;-2.307112694;-0.08234588057,3.604539394,5.107360855,5.789735019,1
SUBSET_WITNESS,,"{0,1,3,5}",,-1.270085812;0.06539435685;-2.346755743;0.2151356339,5.514379501,6.429139555,6.95397073,1
SUBSET_WITNESS,,"{0,1,4,5}",,-0.7549167871;0.149038583;-1.793733478;0.8629698753,5.400793552,6.431660879,6.990258574,1
SUBSET_WITNESS,,"{0,2,3,4}",,-0.6511535645;0.06603000313;0.576738596;-0.4536269605,2.097390413,3.200630262,5.155129615,1
SUBSET_WITNESS,,"{0,2,3,5}",,-0.5979532599;0.1170985475;1.510969043;0.109865427,1.920244932,4.003747776,5.197641423,1
SUBSET_WITNESS,,"{0,2,4,5}",,0.6169352531;-0.4937005937;0.9319401979;0.547665894,2.557680845,3.907086538,4.635711867,1
SUBSET_WITNESS,,"{0,3,4,5}",,-0.3626221716;-0.9887160659;-0.810518086;-0.005938328337,2.443519831,3.84604843,5.651675642,1
SUBSET_WITNESS,,"{1,2,3,4}",,0.01193814259;1.278427362;1.573556781;-0.9685958028,4.099640369,3.505300488,6.57906807,1
SUBSET_WITNESS,,"{1,2,3,5}",,-0.7022884488;1.787659049;1.8845824;-0.8055525422,4.389657021,5.058013231,5.137219135,1
SUBSET_WITNESS,,"{1,2,4,5}",,-0.04102006182;1.294188499;-1.572971344;0.7077481747,4.500025272,4.183701932,5.443644251,1
SUBSET_WITNESS,,"{1,3,4,5}",,0.5467619896;-2.84981513;1.004455328;-0.4670034647,7.617482662,7.552226882,8.940081501,1
SUBSET_WITNESS,,"{2,3,4,5}",,0.6625338793;0.1079295427;0.9012521505;0.1519590616,3.211904287,4.131426156,6.174777676,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,-0.5930089355;0.4371469021;-2.094786644;-0.5208214521,2.964979649,4.949229844,8.955284745,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,-0.8193147779;-0.7985130548;1.988470435;-0.5604434609,3.963171244,4.072872773,6.275052279,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,-0.5183098316;1.18230927;-1.531231642;0.5485754013,3.809290648,4.869218864,4.968904479,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,-0.7333770394;-0.002857238753;-1.949209809;0.3064157069,4.304872513,5.108269095,5.689470321,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,-0.2768096626;-0.3504908979;1.153331757;0.2063062191,2.39840579,4.146101594,8.776736021,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,-0.05471445248;-0.4315422177;2.011120081;-0.721021533,4.238759995,5.013069361,5.626147568,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,-0.6836566329;-0.9047164917;1.706982613;-0.6937335134,4.136980057,,,1
